repo,issue_id,commit_sha,filename,file_status,additions,deletions,changes,patch
immersive-web/cardboard-vr-display,21,f263f579c41a69835659e6128fc50ec3443fe886,examples/index.html,modified,9,0,9,"@@ -135,6 +135,15 @@
 // Create a three.js camera.
 var camera = new THREE.PerspectiveCamera(75, window.innerWidth / window.innerHeight, 0.1, 10000);
 
+// Create a reticle
+var reticle = new THREE.Mesh(
+  new THREE.RingBufferGeometry(0.005, 0.01, 15),
+  new THREE.MeshBasicMaterial({ color: 0xffffff })
+);
+reticle.position.z = -0.5;
+camera.add(reticle);
+scene.add(camera);
+
 // Apply VR headset positional data to camera.
 var controls = new THREE.VRControls(camera);
 "
immersive-web/cardboard-vr-display,21,f263f579c41a69835659e6128fc50ec3443fe886,src/cardboard-vr-display.js,modified,2,2,4,"@@ -118,9 +118,9 @@ CardboardVRDisplay.prototype._getEyeOffset = function(whichEye) {
   var offset;
 
   if (whichEye == Eye.LEFT) {
-    offset = [this.deviceInfo_.viewer.interLensDistance * 0.5, 0.0, 0.0];
-  } else if (whichEye == Eye.RIGHT) {
     offset = [-this.deviceInfo_.viewer.interLensDistance * 0.5, 0.0, 0.0];
+  } else if (whichEye == Eye.RIGHT) {
+    offset = [this.deviceInfo_.viewer.interLensDistance * 0.5, 0.0, 0.0];
   } else {
     console.error('Invalid eye provided: %s', whichEye);
     return null;"
