repo,issue_id,commit_sha,filename,file_status,additions,deletions,changes,patch,gpt_bug_detection
secondlife/viewer,3611,be7aed0,indra/newview/app_settings/settings.xml,modified,1,1,2,"@@ -11618,7 +11618,7 @@
         <key>Type</key>
         <string>F32</string>
         <key>Value</key>
-        <real>0.04</real>
+        <real>0.0095</real>
     </map>
     <key>TextureScaleMaxAreaFactor</key>
     <map>","{""error"": ""code_file_not_found""}"
secondlife/viewer,3611,be7aed0,indra/newview/llviewertexturelist.cpp,modified,4,3,7,"@@ -901,7 +901,7 @@ void LLViewerTextureList::updateImageDecodePriority(LLViewerFetchedTexture* imag
 
     if (imagep->getBoostLevel() < LLViewerFetchedTexture::BOOST_HIGH)  // don't bother checking face list for boosted textures
     {
-        static LLCachedControl<F32> texture_scale_min(gSavedSettings, ""TextureScaleMinAreaFactor"", 0.04f);
+        static LLCachedControl<F32> texture_scale_min(gSavedSettings, ""TextureScaleMinAreaFactor"", 0.0095f);
         static LLCachedControl<F32> texture_scale_max(gSavedSettings, ""TextureScaleMaxAreaFactor"", 25.f);
 
         F32 max_vsize = 0.f;
@@ -943,8 +943,9 @@ void LLViewerTextureList::updateImageDecodePriority(LLViewerFetchedTexture* imag
 
                     // Scale desired texture resolution higher or lower depending on texture scale
                     //
-                    // Minimum usage examples: a 1024x1024 texture with aplhabet, runing string
-                    // shows one letter at a time
+                    // Minimum usage examples: a 1024x1024 texture with aplhabet (texture atlas),
+                    // runing string shows one letter at a time. If texture has ten 100px symbols
+                    // per side, minimal scale is (100/1024)^2 = 0.0095
                     //
                     // Maximum usage examples: huge chunk of terrain repeats texture
                     // TODO: make this work with the GLTF texture transforms","{""error"": ""code_file_not_found""}"
secondlife/viewer,3611,85c77ee,indra/newview/app_settings/settings.xml,modified,1,1,2,"@@ -11618,7 +11618,7 @@
         <key>Type</key>
         <string>F32</string>
         <key>Value</key>
-        <real>0.04</real>
+        <real>0.0095</real>
     </map>
     <key>TextureScaleMaxAreaFactor</key>
     <map>","{""error"": ""code_file_not_found""}"
secondlife/viewer,3611,85c77ee,indra/newview/llviewertexturelist.cpp,modified,4,3,7,"@@ -901,7 +901,7 @@ void LLViewerTextureList::updateImageDecodePriority(LLViewerFetchedTexture* imag
 
     if (imagep->getBoostLevel() < LLViewerFetchedTexture::BOOST_HIGH)  // don't bother checking face list for boosted textures
     {
-        static LLCachedControl<F32> texture_scale_min(gSavedSettings, ""TextureScaleMinAreaFactor"", 0.04f);
+        static LLCachedControl<F32> texture_scale_min(gSavedSettings, ""TextureScaleMinAreaFactor"", 0.0095f);
         static LLCachedControl<F32> texture_scale_max(gSavedSettings, ""TextureScaleMaxAreaFactor"", 25.f);
 
         F32 max_vsize = 0.f;
@@ -943,8 +943,9 @@ void LLViewerTextureList::updateImageDecodePriority(LLViewerFetchedTexture* imag
 
                     // Scale desired texture resolution higher or lower depending on texture scale
                     //
-                    // Minimum usage examples: a 1024x1024 texture with aplhabet, runing string
-                    // shows one letter at a time
+                    // Minimum usage examples: a 1024x1024 texture with aplhabet (texture atlas),
+                    // runing string shows one letter at a time. If texture has ten 100px symbols
+                    // per side, minimal scale is (100/1024)^2 = 0.0095
                     //
                     // Maximum usage examples: huge chunk of terrain repeats texture
                     // TODO: make this work with the GLTF texture transforms","{""error"": ""code_file_not_found""}"
