repo,id,sym,cwe,entity,n_files,additions,deletions,total_changes
microsoft/mixed-reality-extension-unity,130,IC,ICFM,L1,2,16,6,22
microsoft/mixed-reality-extension-unity,228,SD,ICFM,L2,1,3,2,5
misyaguziya/VRCT,28,SD,GCE,L4,2,2,2,4
mobfishgmbh/Cardboard-VR-Unity-SDK,60,AF,IAC,L3,1,1,1,2
mordentral/VRExpansionPlugin,9,VF,ICFM,L4,1,10,0,10
mozilla/webxr-polyfill,59,SD,ICFM,L5,2,9,4,13
mtwoodard/hypVR-Ray,1,RA,GCE,L5,1,47,27,74
musehq/spacesvr,57,VF,IAC,L1,1,84,30,114
musehq/spacesvr,71,SD,UPF,L3,8,122,28,150
musehq/spacesvr,136,RA,GCE,L3,34,416,310,726
musehq/spacesvr,138,VF,ICFM,L3,5,24,17,41
musehq/spacesvr,141,AF,RLM,L5,17,339,219,558
musehq/spacesvr,142,AF,IIV,L5,15,663,12,675
musehq/spacesvr,161,AF,ICFM,L1,6,40,31,71
musehq/spacesvr,162,AF,ICFM,L3,8,42,33,75
musehq/spacesvr,173,AF,RLM,L3,4,21,12,33
n5ro/aframe-physics-system,49,AF,GCE,L4,3,5,5,10
n5ro/aframe-physics-system,58,IC,RLM,L4,2,8,0,8
n5ro/aframe-physics-system,160,SD,TDI,L4,3,335,7,342
networked-aframe/networked-aframe,34,IC,UPF,L5,1,2,0,2
networked-aframe/networked-aframe,213,VF,IAC,L4,1,6,4,10
networked-aframe/networked-aframe,353,AF,RLM,L3,1,1,1,2
networked-aframe/networked-aframe,402,SD,RLM,L3,6,58,16,74
networked-aframe/networked-aframe,437,IC,ICFM,L3,1,4,4,8
networked-aframe/networked-aframe,444,AF,IAC,L4,2,2,0,2
networked-aframe/networked-aframe,451,IC,ICFM,L1,2,19,14,33
ngokevin/aframe-core,150,AF,RLM,L3,2,35,13,48
ngokevin/aframe-core,176,AF,RLM,L1,1,59,31,90
ngokevin/aframe-core,302,AF,UPF,L1,1,16,0,16
ngokevin/aframe-core,332,RA,UPF,L3,1,3,1,4
ngokevin/aframe-core,418,RA,UPF,L4,7,240,10,250
ngokevin/aframe-core,424,VF,UPF,L5,1,8,2,10
ngokevin/aframe-core,481,RS,IIV,L3,1,14,8,22
ngokevin/aframe-core,486,AF,IIV,L4,5,411,156,567
ngokevin/aframe-core,511,AF,IIV,L4,1,5,4,9
ngokevin/aframe-core,519,IC,IAC,L4,2,13,1,14
ngokevin/aframe-core,539,SD,UPF,L5,23,304,272,576
ngokevin/aframe-core,574,SD,RLM,L3,22,98,120,218
ngokevin/aframe-core,672,IC,ICFM,L1,1,2,0,2
ngokevin/aframe-core,673,SD,ICFM,L3,1,1,1,2
oneMillionWorlds/Tamarin,1,VF,GCE,L2,8,118,43,161
osrf/vrx,135,SD,UPF,L4,5,15,9,24
osrf/vrx,140,VF,IIV,L5,1,4,0,4
osrf/vrx,162,RA,UPF,L5,10,272,8,280
osrf/vrx,352,AF,IIV,L4,3,2,0,2
osrf/vrx,361,RA,ICFM,L4,1,4,2,6
osrf/vrx,728,SD,GCE,L5,1,1,1,2
overte-org/overte,45,SD,GCE,L4,1,3,3,6
overte-org/overte,147,AF,UPF,L3,7,0,0,0
overte-org/overte,189,SD,RLM,L3,3,121,93,214
overte-org/overte,190,SD,UPF,L3,1,312,540,852
overte-org/overte,195,SD,RLM,L2,4,115,65,180
overte-org/overte,209,AF,IAC,L3,1,2,13,15
overte-org/overte,291,AF,TDI,L1,6,22,4,26
overte-org/overte,294,RA,ICFM,L5,2,38,25,63
overte-org/overte,307,AF,GCE,L4,2,10,8,18
overte-org/overte,470,SD,GCE,L3,1,8,7,15
overte-org/overte,487,IC,IAC,L1,1,1,0,1
overte-org/overte,490,SD,IAC,L3,1,9,11,20
overte-org/overte,498,RA,ICFM,L4,4,31,14,45
overte-org/overte,737,IC,GCE,L3,1,6,6,12
overte-org/overte,781,SD,GCE,L2,1,1,1,2
overte-org/overte,826,SD,GCE,L5,1,8,7,15
overte-org/overte,831,AF,GCE,L3,1,8,7,15
overte-org/overte,862,SD,GCE,L2,2,25,15,40
overte-org/overte,866,SD,GCE,L2,1,1,1,2
overte-org/overte,880,AF,UPF,L3,2,78,39,117
overte-org/overte,975,IC,IIV,L1,1,13,0,13
overte-org/overte,1058,AF,ICFM,L4,8,81,9,90
overte-org/overte,1081,VF,RLM,L1,1,5,2,7
overte-org/overte,1083,AF,IIV,L3,1,1,1,2
overte-org/overte,1094,IC,UPF,L3,3,88,15,103
overte-org/overte,1111,AF,IIV,L3,42,258,125,383
overte-org/overte,1127,IC,ICFM,L1,1,14,3,17
overte-org/overte,1196,AF,UPF,L3,2,24,12,36
overte-org/overte,1210,AF,TDI,L3,2,68,49,117
overte-org/overte,1234,RA,ICFM,L5,6,15,14,29
overte-org/overte,1247,AF,UPF,L3,4,20,21,41
overte-org/overte,1304,AF,UPF,L3,1,9,4,13
overte-org/overte,1307,AF,UPF,L3,2,12,0,12
overte-org/overte,1367,AF,RLM,L3,2,25,34,59
overte-org/overte,1469,AF,IIV,L3,1,7,4,11
overte-org/overte,1503,IC,UPF,L3,1,4,4,8
overte-org/overte,1513,AF,TDI,L3,1,42,44,86
overte-org/overte,1516,RA,GCE,L1,18,163,197,360
overte-org/overte,1595,RA,RLM,L3,3,35,45,80
overte-org/overte,1630,AF,IAC,L1,1,2,0,2
overte-org/overte,1664,SD,IAC,L3,1,3,3,6
overte-org/overte,1690,AF,ICFM,L5,2,21,2,23
overte-org/overte,1710,SD,GCE,L3,4,73,98,171
overte-org/overte,1722,SD,RLM,L3,2,67,24,91
overte-org/overte,1746,IC,IIV,L1,4,26,45,71
overte-org/overte,1761,SD,RLM,L4,2,5,1,6
overte-org/overte,1812,AF,UPF,L3,1,3,3,6
overte-org/overte,1819,RA,UPF,L5,2,6,1,7
philipturner/ARHeadsetKit,32,AF,UPF,L3,3,4,2,6
pmndrs/xr,324,IC,IAC,L3,2,19,5,24
pmndrs/xr,350,IC,ICFM,L1,14,151,109,260
pmndrs/xr,388,VF,IIV,L1,1,4,2,6
pmndrs/xr,391,VF,GCE,L5,1,21,4,25
pmndrs/xr,411,RS,ICFM,L1,1,5,1,6
pmndrs/xr,449,VF,GCE,L5,1,21,4,25
praydog/UEVR,15,SD,ICFM,L5,2,26,9,35
praydog/UEVR,77,IC,ICFM,L1,2,29,0,29
ptrpaws/DreamGrid,1,IC,IIV,L3,2,30,1,31
ptrpaws/DreamGrid,3,RA,UPF,L5,2,32,0,32
ptrpaws/DreamGrid,4,RS,UPF,L5,1,28,1,29
puckey/dance-tonite,6,AF,GCE,L5,1,10,5,15
pupil-labs/hmd-eyes,4,SD,GCE,L5,1,3,3,6
pushrax/OpenVR-SpaceCalibrator,55,AF,TDI,L3,1,3,0,3
quadjr/aframe-gaussian-splatting,2,SD,TDI,L4,6,11,11,22
quadjr/aframe-gaussian-splatting,12,RA,TDI,L5,5,7,5,12
rdub80/aframe-gui,12,SD,ICFM,L3,5,120,88,208
rdub80/aframe-gui,25,RA,RLM,L3,3,62,23,85
rollingrock/Fallout-4-VR-Body,66,AF,IIV,L2,5,48,9,57
rollingrock/Fallout-4-VR-Body,69,RA,IIV,L5,2,19,28,47
rollingrock/Fallout-4-VR-Body,84,SD,IAC,L2,1,7,7,14
rollingrock/Fallout-4-VR-Body,127,VF,IIV,L2,18,142,122,264
satchelfrost/revolvr,43,AF,IIV,L4,48,399,41,440
scenerygraphics/scenery,37,SD,RLM,L5,6,102,59,161
scenerygraphics/scenery,38,SD,GCE,L1,3,52,7,59
scenerygraphics/scenery,146,RA,ICFM,L5,2,10,5,15
scenerygraphics/scenery,147,RA,GCE,L5,3,20,9,29
scenerygraphics/scenery,181,VF,RLM,L5,1,9,3,12
scenerygraphics/scenery,213,IC,IAC,L3,6,19,9,28
scenerygraphics/scenery,287,RA,RLM,L5,10,72,45,117
scenerygraphics/scenery,377,IC,GCE,L1,1,14,4,18
scenerygraphics/scenery,381,SD,GCE,L1,4,40,36,76
scenerygraphics/scenery,444,VF,RLM,L5,6,36,12,48
scenerygraphics/scenery,456,RA,RLM,L4,10,52,30,82
scenerygraphics/scenery,493,AF,TDI,L4,1,3,4,7
scenerygraphics/scenery,750,AF,GCE,L4,2,33,24,57
scenerygraphics/scenery,757,RA,GCE,L3,2,33,24,57
secondlife/viewer,33,VF,ICFM,L1,3,46,34,80
secondlife/viewer,108,AF,RLM,L3,1,19,4,23
secondlife/viewer,115,AF,ICFM,L4,1,15,0,15
secondlife/viewer,168,AF,TDI,L3,2,5,0,5
secondlife/viewer,169,AF,ICFM,L3,2,0,2,2
secondlife/viewer,174,AF,GCE,L4,1,0,5,5
secondlife/viewer,176,AF,ICFM,L4,4,31,105,136
secondlife/viewer,182,AF,ICFM,L4,5,69,42,111
secondlife/viewer,212,RA,ICFM,L3,3,10,2,12
secondlife/viewer,234,AF,GCE,L4,6,104,12,116
secondlife/viewer,235,SD,IAC,L2,4,24,17,41
secondlife/viewer,249,AF,IIV,L3,32,258,366,624
secondlife/viewer,272,AF,ICFM,L3,1,3,0,3
secondlife/viewer,304,AF,GCE,L3,6,12,24,36
secondlife/viewer,307,AF,ICFM,L5,3,6,12,18
secondlife/viewer,351,AF,ICFM,L3,8,17,18,35
secondlife/viewer,356,AF,UPF,L3,1,1,0,1
secondlife/viewer,389,SD,ICFM,L3,1,7,0,7
secondlife/viewer,391,AF,RLM,L3,1,4,1,5
secondlife/viewer,399,SD,ICFM,L5,12,118,108,226
secondlife/viewer,406,SD,GCE,L3,2,9,5,14
secondlife/viewer,480,AF,IAC,L3,5,36,30,66
secondlife/viewer,500,SD,GCE,L3,2,17,8,25
secondlife/viewer,508,SD,RLM,L3,4,52,24,76
secondlife/viewer,526,VF,GCE,L5,15,312,18,330
secondlife/viewer,605,IC,ICFM,L3,4,21,1,22
secondlife/viewer,626,SD,GCE,L5,2,0,25,25
secondlife/viewer,635,AF,IIV,L3,3,6,3,9
secondlife/viewer,655,IC,UPF,L3,36,76,100,176
secondlife/viewer,696,RA,ICFM,L5,3,3,3,6
secondlife/viewer,721,RA,GCE,L4,9,46,53,99
secondlife/viewer,730,RS,ICFM,L5,2,16,18,34
secondlife/viewer,731,AF,GCE,L4,4,4,4,8
secondlife/viewer,779,SD,ICFM,L3,30,222,30,252
secondlife/viewer,789,IC,RLM,L4,2,12,0,12
secondlife/viewer,795,SD,RLM,L3,36,601,203,804
secondlife/viewer,822,IC,RLM,L3,3,107,1,108
secondlife/viewer,854,SD,RLM,L4,10,16,92,108
secondlife/viewer,888,RA,GCE,L4,4,62,4,66
secondlife/viewer,938,AF,ICFM,L3,3,39,11,50
secondlife/viewer,944,AF,UPF,L3,39,245,232,477
secondlife/viewer,956,AF,GCE,L3,2,16,2,18
secondlife/viewer,957,AF,ICFM,L3,1,42,30,72
secondlife/viewer,982,AF,TDI,L3,10,108,175,283
secondlife/viewer,989,RA,IIV,L4,4,10,4,14
secondlife/viewer,1050,SD,RLM,L4,2,2,0,2
secondlife/viewer,1055,VF,GCE,L2,6,144,90,234
secondlife/viewer,1059,AF,RLM,L4,11,305,58,363
secondlife/viewer,1067,AF,ICFM,L3,5,38,52,90
secondlife/viewer,1068,SD,UPF,L4,2,6,12,18
secondlife/viewer,1106,AF,ICFM,L3,1,15,9,24
secondlife/viewer,1130,VF,IIV,L5,10,260,59,319
secondlife/viewer,1139,RA,GCE,L5,52,227,264,491
secondlife/viewer,1154,IC,RLM,L3,2,10,10,20
secondlife/viewer,1165,SD,ICFM,L4,7,31,19,50
secondlife/viewer,1200,VF,ICFM,L5,14,369,224,593
secondlife/viewer,1207,AF,UPF,L3,2,6,6,12
secondlife/viewer,1261,AF,IAC,L3,23,235,125,360
secondlife/viewer,1299,AF,ICFM,L4,2,78,3,81
secondlife/viewer,1348,SD,RLM,L3,26,226,121,347
secondlife/viewer,1420,SD,RLM,L3,60,381,523,904
secondlife/viewer,1466,AF,GCE,L4,2,2,2,4
secondlife/viewer,1467,SD,ICFM,L4,6,80,8,88
secondlife/viewer,1472,IC,GCE,L3,4,4,4,8
secondlife/viewer,1474,AF,UPF,L4,12,98,44,142
secondlife/viewer,1480,SD,IIV,L3,2,17,0,17
secondlife/viewer,1485,AF,GCE,L4,4,11,16,27
secondlife/viewer,1493,SD,UPF,L5,3,24,0,24
secondlife/viewer,1494,VF,ICFM,L5,7,37,47,84
secondlife/viewer,1519,VF,GCE,L1,5,25,27,52
secondlife/viewer,1520,IC,IIV,L3,8,90,44,134
secondlife/viewer,1540,AF,ICFM,L3,2,8,2,10
secondlife/viewer,1577,IC,IIV,L3,6,27,15,42
secondlife/viewer,1578,SD,GCE,L3,2,56,33,89
secondlife/viewer,1584,IC,UPF,L3,2,2,2,4
secondlife/viewer,1600,IC,IIV,L3,4,8,8,16
secondlife/viewer,1614,RA,GCE,L4,1,1,10,11
secondlife/viewer,1628,RA,ICFM,L4,4,20,14,34
secondlife/viewer,1733,AF,GCE,L3,2,8,8,16
secondlife/viewer,1754,AF,RLM,L4,18,157,51,208
secondlife/viewer,1771,SD,ICFM,L4,2,26,0,26
secondlife/viewer,1773,AF,IAC,L3,20,0,20,20
secondlife/viewer,1786,AF,GCE,L3,1,3,3,6
secondlife/viewer,1794,SD,ICFM,L4,3,36,30,66
secondlife/viewer,1835,IC,GCE,L1,1,1,1,2
secondlife/viewer,1847,AF,GCE,L4,27,387,156,543
secondlife/viewer,1905,IC,IAC,L3,2,11,2,13
secondlife/viewer,1917,AF,ICFM,L3,2,2,4,6
secondlife/viewer,1923,SD,GCE,L3,2,96,16,112
secondlife/viewer,1932,AF,ICFM,L3,2,8,4,12
secondlife/viewer,1965,RA,ICFM,L3,3,15,0,15
secondlife/viewer,1973,RA,ICFM,L3,1,5,0,5
secondlife/viewer,1988,IC,IIV,L3,1,2,2,4
secondlife/viewer,2017,AF,ICFM,L4,1,4,1,5
secondlife/viewer,2027,IC,ICFM,L4,2,73,12,85
secondlife/viewer,2064,SD,ICFM,L4,2,27,2,29
secondlife/viewer,2144,AF,UPF,L3,2,2,2,4
secondlife/viewer,2160,AF,ICFM,L3,1,1,1,2
secondlife/viewer,2279,VF,IIV,L5,4,16,30,46
secondlife/viewer,2323,RA,GCE,L4,12,30,11,41
secondlife/viewer,2410,IC,UPF,L3,4,5,5,10
secondlife/viewer,2427,IC,ICFM,L3,2,10,0,10
secondlife/viewer,2469,IC,ICFM,L3,9,279,72,351
secondlife/viewer,2505,AF,UPF,L3,1,0,0,0
secondlife/viewer,2558,RA,ICFM,L5,7,27,13,40
secondlife/viewer,2572,AF,IIV,L3,13,10,13,23
secondlife/viewer,2577,RA,ICFM,L4,7,65,44,109
secondlife/viewer,2637,RA,GCE,L4,2,12,14,26
secondlife/viewer,2639,SD,ICFM,L3,4,132,132,264
secondlife/viewer,2646,IC,IAC,L3,4,6,6,12
secondlife/viewer,2663,AF,UPF,L3,3,39,37,76
secondlife/viewer,2671,SD,RLM,L5,2,18,2,20
secondlife/viewer,2680,AF,RLM,L3,6,39,15,54
secondlife/viewer,2709,AF,GCE,L3,4,12,12,24
secondlife/viewer,2711,AF,TDI,L3,28,0,28,28
secondlife/viewer,2753,IC,RLM,L3,2,8,2,10
secondlife/viewer,2772,RA,IAC,L5,2,4,2,6
secondlife/viewer,2780,RA,ICFM,L4,12,112,12,124
secondlife/viewer,2863,AF,ICFM,L4,2,2,16,18
secondlife/viewer,2883,RA,RLM,L3,12,82,6,88
secondlife/viewer,2894,SD,RLM,L4,10,145,0,145
secondlife/viewer,2964,RA,ICFM,L4,2,2,0,2
secondlife/viewer,2971,RA,ICFM,L4,2,36,2,38
secondlife/viewer,2997,AF,ICFM,L3,4,8,20,28
secondlife/viewer,2999,RA,RLM,L3,6,0,68,68
secondlife/viewer,3001,IC,ICFM,L1,2,6,0,6
secondlife/viewer,3026,RA,IAC,L4,6,40,25,65
secondlife/viewer,3034,RA,RLM,L3,12,110,0,110
secondlife/viewer,3036,IC,RLM,L3,4,4,4,8
secondlife/viewer,3037,SD,RLM,L2,5,314,242,556
secondlife/viewer,3059,RA,ICFM,L2,4,70,4,74
secondlife/viewer,3068,AF,IIV,L3,7,235,180,415
secondlife/viewer,3096,IC,GCE,L3,3,3,3,6
secondlife/viewer,3099,IC,RLM,L4,7,66,39,105
secondlife/viewer,3156,AF,ICFM,L3,1,6,1,7
secondlife/viewer,3157,AF,ICFM,L4,6,70,22,92
secondlife/viewer,3170,IC,RLM,L3,13,57,44,101
secondlife/viewer,3171,AF,ICFM,L3,2,2,0,2
secondlife/viewer,3190,SD,RLM,L4,9,96,48,144
secondlife/viewer,3234,RA,GCE,L4,2,4,2,6
secondlife/viewer,3248,AF,GCE,L4,2,2,2,4
secondlife/viewer,3256,RA,ICFM,L4,4,36,0,36
secondlife/viewer,3267,IC,UPF,L3,48,60,60,120
secondlife/viewer,3270,RA,GCE,L4,2,24,4,28
secondlife/viewer,3275,AF,UPF,L3,12,15,15,30
secondlife/viewer,3290,SD,ICFM,L3,2,2,2,4
secondlife/viewer,3311,RA,ICFM,L5,11,68,65,133
secondlife/viewer,3317,IC,GCE,L5,25,48,105,153
secondlife/viewer,3331,IC,RLM,L3,4,26,2,28
secondlife/viewer,3332,RA,RLM,L3,80,271,96,367
secondlife/viewer,3353,IC,ICFM,L3,4,48,0,48
secondlife/viewer,3377,IC,ICFM,L3,3,6,3,9
secondlife/viewer,3394,IC,IAC,L3,3,6,6,12
secondlife/viewer,3407,AF,UPF,L3,2,15,21,36
secondlife/viewer,3445,AF,ICFM,L4,5,20,27,47
secondlife/viewer,3456,AF,ICFM,L4,12,417,376,793
secondlife/viewer,3511,SD,ICFM,L4,9,20,3,23
secondlife/viewer,3599,AF,RLM,L3,1,0,1,1
secondlife/viewer,3611,AF,GCE,L5,4,10,8,18
secondlife/viewer,3630,SD,IAC,L3,6,8,4,12
secondlife/viewer,3654,AF,UPF,L3,21,47,20,67
secondlife/viewer,3661,AF,GCE,L3,2,2,2,4
secondlife/viewer,3663,AF,IIV,L4,6,26,2,28
secondlife/viewer,3719,RA,ICFM,L5,2,11,28,39
secondlife/viewer,3735,RA,GCE,L4,9,87,66,153
secondlife/viewer,3762,AF,UPF,L3,20,20,20,40
secondlife/viewer,3778,AF,UPF,L3,12,32,14,46
secondlife/viewer,3791,SD,ICFM,L4,2,114,108,222
secondlife/viewer,3853,IC,UPF,L4,1,22,2,24
secondlife/viewer,3856,AF,GCE,L4,1,3,1,4
secondlife/viewer,3863,IC,RLM,L4,4,10,2,12
secondlife/viewer,3887,IC,IAC,L3,6,2,14,16
secondlife/viewer,3897,SD,GCE,L3,15,98,47,145
secondlife/viewer,3898,SD,UPF,L3,2,2,2,4
secondlife/viewer,3921,AF,GCE,L3,3,24,15,39
secondlife/viewer,3972,AF,GCE,L3,3,259,44,303
secondlife/viewer,3978,SD,GCE,L4,2,2,4,6
secondlife/viewer,3990,IC,ICFM,L1,4,23,29,52
secondlife/viewer,4008,IC,ICFM,L3,4,26,26,52
secondlife/viewer,4038,IC,ICFM,L3,1,1,1,2
secondlife/viewer,4047,IC,ICFM,L3,14,176,2,178
secondlife/viewer,4053,AF,ICFM,L3,1,0,4,4
secondlife/viewer,4092,AF,ICFM,L3,1,2,1,3
secondlife/viewer,4132,AF,ICFM,L3,2,2,2,4
secondlife/viewer,4186,RA,ICFM,L4,1,1,0,1
secondlife/viewer,4337,RS,ICFM,L5,8,36,4,40
secondlife/viewer,4353,AF,UPF,L3,3,6,6,12
secondlife/viewer,4366,SD,RLM,L3,1,1,0,1
secondlife/viewer,4386,IC,ICFM,L3,2,26,9,35
secondlife/viewer,4391,IC,ICFM,L1,2,32,0,32
secondlife/viewer,4424,AF,ICFM,L3,2,2,4,6
secondlife/viewer,4460,IC,UPF,L3,6,18,14,32
secondlife/viewer,4472,IC,ICFM,L5,2,10,10,20
secondlife/viewer,4474,IC,UPF,L5,18,150,10,160
secondlife/viewer,4587,RA,RLM,L4,7,108,44,152
secondlife/viewer,4623,IC,ICFM,L3,2,2,2,4
secondlife/viewer,4647,AF,IAC,L3,2,41,11,52
secondlife/viewer,4675,AF,RLM,L3,12,48,12,60
secondlife/viewer,4715,SD,ICFM,L3,12,158,6,164
sencercoltu/steamvr-undistort,10,VF,GCE,L5,1,4,15,19
sh-akira/VirtualMotionCapture,75,SD,GCE,L2,1,1,3,4
silverslade/aframe_blender_exporter,7,AF,UPF,L3,1,4,0,4
simonedevit/reactylon,6,SD,UPF,L3,2,30,14,44
smallfly/ofxOpenVR,7,SD,GCE,L2,2,3,3,6
space-chat/space-chat,80,RA,RLM,L3,2,0,28,28
space-chat/space-chat,101,AF,UPF,L4,4,9,7,16
space-chat/space-chat,130,SD,UPF,L4,2,2,2,4
space-chat/space-chat,133,RA,RLM,L5,6,339,6,345
supermedium/aframe-react,58,AF,TDI,L4,2,86,0,86
supermedium/aframe-react,85,IC,RLM,L4,6,147,18,165
supermedium/aframe-react,127,IC,IIV,L3,1,1,1,2
teliportme/remixvr,2,RS,IIV,L5,1,1,7,8
tizzle/aframe-orbit-controls-component,1,IC,ICFM,L1,2,32,2,34
tizzle/aframe-orbit-controls-component,4,IC,IIV,L5,3,41,7,48
tizzle/aframe-orbit-controls-component,15,SD,TDI,L1,1,9,8,17
uezo/aiavatarkit,27,IC,IAC,L2,2,6,2,8
uic-evl/omegalib,11,RA,UPF,L4,6,157,114,271
uic-evl/omegalib,30,VF,UPF,L5,6,179,125,304
uic-evl/omegalib,44,SD,GCE,L3,2,29,14,43
uic-evl/omegalib,72,SD,RLM,L3,1,3,1,4
uic-evl/omegalib,76,AF,RLM,L4,1,5,0,5
uic-evl/omegalib,133,IC,UPF,L1,2,76,60,136
uic-evl/omegalib,160,SD,GCE,L5,1,1,1,2
unavi-xyz/unavi,333,RA,ICFM,L4,28,417,91,508
unavi-xyz/unavi,698,RA,GCE,L5,1,6,1,7
vasturiano/3d-force-graph-vr,21,RS,ICFM,L5,1,9,0,9
vasturiano/3d-force-graph-vr,52,IC,TDI,L1,5,27,19,46
videojs/videojs-vr,16,SD,IAC,L5,3,18,4,22
videojs/videojs-vr,17,VF,ICFM,L5,5,87,38,125
videojs/videojs-vr,32,VF,ICFM,L5,1,4,3,7
videojs/videojs-vr,75,AF,TDI,L3,1,56,2,58
videojs/videojs-vr,76,SD,ICFM,L5,3,31,31,62
videojs/videojs-vr,96,IC,UPF,L1,3,128,0,128
videojs/videojs-vr,104,SD,ICFM,L5,1,0,1,1
videojs/videojs-vr,177,AF,TDI,L5,1,9,2,11
vimeo/aframe-vimeo-component,5,VF,IIV,L5,1,3,1,4
vircadia/vircadia-native-core,55,IC,IIV,L2,5,85,31,116
vircadia/vircadia-native-core,64,RA,GCE,L5,2,119,60,179
vircadia/vircadia-native-core,72,RA,TDI,L1,2,2,1,3
vircadia/vircadia-native-core,98,AF,IAC,L3,2,2,0,2
vircadia/vircadia-native-core,107,AF,IIV,L3,2,55,12,67
vircadia/vircadia-native-core,113,AF,TDI,L3,4,51,15,66
vircadia/vircadia-native-core,117,IC,GCE,L3,3,11,10,21
vircadia/vircadia-native-core,120,AF,IIV,L3,1,2,1,3
vircadia/vircadia-native-core,123,SD,TDI,L2,1,4,4,8
vircadia/vircadia-native-core,125,VF,TDI,L5,3,83,3,86
vircadia/vircadia-native-core,161,IC,RLM,L3,1,0,25,25
vircadia/vircadia-native-core,165,RS,TDI,L3,2,7,6,13
vircadia/vircadia-native-core,166,SD,UPF,L4,1,72,0,72
vircadia/vircadia-native-core,179,SD,IIV,L3,2,26,4,30
vircadia/vircadia-native-core,224,SD,ICFM,L4,2,2,2,4
vircadia/vircadia-native-core,244,AF,UPF,L3,2,27,8,35
vircadia/vircadia-native-core,263,RA,ICFM,L5,5,356,0,356
vircadia/vircadia-native-core,267,VF,TDI,L2,1,4,4,8
vircadia/vircadia-native-core,269,VF,IIV,L5,1,2,2,4
vircadia/vircadia-native-core,288,AF,GCE,L5,1,1,1,2
vircadia/vircadia-native-core,294,AF,ICFM,L4,2,38,25,63
vircadia/vircadia-native-core,302,AF,ICFM,L4,7,289,20,309
vircadia/vircadia-native-core,307,RA,GCE,L4,1,5,4,9
vircadia/vircadia-native-core,369,AF,ICFM,L3,1,17,0,17
vircadia/vircadia-native-core,412,SD,TDI,L4,6,94,146,240
vircadia/vircadia-native-core,426,AF,ICFM,L3,3,6,8,14
vircadia/vircadia-native-core,436,AF,ICFM,L3,1,2,3,5
vircadia/vircadia-native-core,452,SD,TDI,L2,2,62,14,76
vircadia/vircadia-native-core,484,AF,TDI,L3,6,101,17,118
vircadia/vircadia-native-core,512,IC,IIV,L1,2,6,2,8
vircadia/vircadia-native-core,522,IC,IIV,L3,1,1,1,2
vircadia/vircadia-native-core,606,AF,UPF,L3,3,75,23,98
vircadia/vircadia-native-core,607,AF,UPF,L3,12,290,6,296
vircadia/vircadia-native-core,662,VF,ICFM,L1,1,2,1,3
vircadia/vircadia-native-core,681,SD,UPF,L4,1,1,1,2
vircadia/vircadia-native-core,689,AF,ICFM,L3,1,75,23,98
vircadia/vircadia-native-core,702,RA,TDI,L5,7,231,0,231
vircadia/vircadia-native-core,737,AF,TDI,L3,1,530,361,891
vircadia/vircadia-native-core,738,AF,IIV,L3,2,34,28,62
vircadia/vircadia-native-core,838,VF,GCE,L3,6,29,29,58
vircadia/vircadia-native-core,874,SD,IAC,L3,3,30,12,42
vircadia/vircadia-native-core,942,SD,UPF,L2,1,3,3,6
vircadia/vircadia-native-core,1050,AF,GCE,L3,12,169,128,297
vircadia/vircadia-native-core,1076,AF,ICFM,L4,17,521,318,839
vircadia/vircadia-native-core,1124,SD,IIV,L2,2,2,2,4
vircadia/vircadia-native-core,1161,AF,GCE,L3,5,17,15,32
vircadia/vircadia-native-core,1181,AF,IAC,L4,1,1,1,2
vircadia/vircadia-native-core,1252,IC,ICFM,L3,2,83,12,95
vircadia/vircadia-web,56,AF,ICFM,L3,2,30,11,41
vircadia/vircadia-web,65,AF,ICFM,L3,3,33,8,41
vircadia/vircadia-web,82,AF,IIV,L3,6,78,12,90
vircadia/vircadia-web,101,AF,UPF,L3,5,33,12,45
vircadia/vircadia-web,130,SD,GCE,L2,2,30,24,54
vircadia/vircadia-web,142,SD,ICFM,L2,2,20,5,25
vircadia/vircadia-web,143,SD,ICFM,L1,6,36,10,46
vircadia/vircadia-web,151,AF,IIV,L3,5,149,106,255
vircadia/vircadia-web,153,SD,ICFM,L3,4,210,225,435
vircadia/vircadia-web,159,AF,UPF,L3,1,17,20,37
vircadia/vircadia-web,181,SD,IIV,L2,22,292,182,474
vistle/vistle,197,IC,IIV,L3,4,8,4,12
vitrivr/vitrivr-vr,8,SD,IAC,L1,5,93,20,113
vitrivr/vitrivr-vr,28,IC,ICFM,L3,8,164,2,166
vizorvr/patches,102,AF,RLM,L3,12,307,114,421
vizorvr/patches,137,SD,IIV,L3,10,239,19,258
vizorvr/patches,147,SD,UPF,L3,11,134,58,192
vizorvr/patches,148,AF,UPF,L3,11,134,58,192
vizorvr/patches,207,AF,ICFM,L3,9,277,219,496
vizorvr/patches,214,AF,ICFM,L3,6,97,77,174
vizorvr/patches,215,IC,UPF,L3,9,277,219,496
vizorvr/patches,219,IC,RLM,L3,9,277,219,496
vizorvr/patches,221,IC,ICFM,L3,9,277,219,496
vizorvr/patches,299,AF,IAC,L3,2,14,10,24
vizorvr/patches,351,AF,GCE,L3,1,2,1,3
vizorvr/patches,398,IC,ICFM,L3,1,5,2,7
vizorvr/patches,427,AF,ICFM,L4,1,5,3,8
vizorvr/patches,478,RA,RLM,L5,1,25,22,47
vizorvr/patches,495,RA,ICFM,L1,2,6,1,7
vizorvr/patches,559,IC,RLM,L3,2,29,8,37
