repo,id,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,majority_vote,final_label
add-ons/plugin.video.vrt.nu,246,visual,visual,visual,visual,visual,visual,visual
secondlife/viewer,3018,visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
Chainsawkitten/Deathcap,214,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
vasturiano/react-force-graph,36,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
viromedia/viro,854,visual,visual,visual,visual,visual,visual,visual
VisActor/VRender,781,visual,visual,visual,visual,visual,visual,visual
VRCFury/VRCFury,220,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
ReactVision/virocore,125,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
VROOM-Project/vroom,272,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
unavi-xyz/unavi,901,non_visual,visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,31791,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
ir-engine/ir-engine,1721,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
nix-community/nixpkgs-xr,8,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,10234,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
webaverse/app,474,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
open-ecosystem-development/OpenXR-SDK,51,visual,visual,visual,visual,visual,visual,visual
jrouwe/JoltPhysics,1186,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,28833,visual,visual,non_visual,visual,visual,visual,visual
mrdoob/three.js,619,visual,visual,visual,visual,visual,visual,visual
Nibre/MotherVR,3,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
Samsung/GearVRf,1651,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
shayan-ys/VRPTW-ga,1,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
vmware/terraform-provider-vra,34,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
Copter64/VR_LED_Project,8,visual,visual,visual,visual,visual,visual,visual
gpac/gpac,2534,visual,visual,visual,visual,visual,visual,visual
matzman666/OpenVR-AdvancedSettings,168,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
caelum/vraptor4,998,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
jrbudda/Vivecraft_110,12,visual,visual,visual,visual,visual,visual,visual
GodotVR/godot-xr-tools,246,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
networked-aframe/networked-aframe,150,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
VROOM-Project/vroom,609,non_visual,non_visual,visual,non_visual,non_visual,non_visual,non_visual
gftruj/aframe-hand-tracking-controls-extras,8,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
r57zone/OpenVR-driver-for-DIY,6,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
hyperlogic/splatapult,31,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
SimulaVR/Simula,4,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
secondlife/viewer,4359,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
philipturner/ARHeadsetKit,91,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
Ralith/openxrs,178,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
Unity-Technologies/InputSystem,601,non_visual,non_visual,non_visual,non_visual,visual,non_visual,non_visual
galister/wlx-overlay-s,87,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
ExtendRealityLtd/Zinnia.Unity,201,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
ThomasGaubert/zephyr,1066,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
chenxiaolong/svrbsctl,12,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
Unity-Technologies/InputSystem,286,visual,visual,visual,visual,visual,visual,visual
facebookarchive/react-360,789,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
webaverse/app,1746,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
widgetti/ipyvolume,253,visual,visual,visual,non_visual,visual,visual,visual
widgetti/ipyvolume,76,visual,visual,visual,visual,visual,visual,visual
dotnet/Silk.NET,1976,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,4268,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
secondlife/viewer,799,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
SimulaVR/Simula,53,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
ChristophHaag/SteamVR-OpenHMD,68,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
dotnet/Silk.NET,42,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,22229,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
vrm-c/UniVRM,698,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
alvr-org/ALVR,1328,visual,non_visual,visual,visual,visual,visual,visual
foundryzero/llef,51,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,28145,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
vRP-Official-Developers/dunko_vrp,82,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,20474,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
saturday06/VRM-Addon-for-Blender,993,non_visual,non_visual,visual,non_visual,non_visual,non_visual,non_visual
GodotVR/godot-xr-tools,130,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
willneedit/AltSpaceMREs,36,non_visual,non_visual,non_visual,visual,non_visual,non_visual,non_visual
jglrxavpok/Carrot,14,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
vrc-get/vrc-get,2440,non_visual,visual,non_visual,non_visual,non_visual,non_visual,non_visual
vrcx-team/VRCX,590,non_visual,visual,non_visual,non_visual,non_visual,non_visual,non_visual
Nibre/MotherVR,132,visual,visual,visual,visual,visual,visual,visual
ROCm/MIVisionX,27,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
bjornbytes/lovr,40,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
scenerygraphics/scenery,172,visual,visual,visual,visual,visual,visual,visual
vrm-c/UniVRM,893,visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
doodlum/skyrim-community-shaders,95,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
vrc-get/vrc-get,1979,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
googlearchive/vrview,152,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,5752,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
Samsung/GearVRf,1320,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
webaverse/app,428,visual,visual,visual,visual,visual,visual,visual
osrf/vrx,602,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
vrm-c/vrm-specification,59,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
ThomasGaubert/zephyr,220,non_visual,visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,27040,visual,visual,visual,visual,visual,visual,visual
AltspaceVR/AltspaceSDK,14,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
ir-engine/etherealengine-archive,4810,visual,visual,visual,visual,visual,visual,visual
hackforla/VRMS,1271,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,8312,visual,visual,visual,visual,visual,visual,visual
mrdoob/three.js,4142,non_visual,visual,visual,visual,visual,visual,visual
mrdoob/three.js,2559,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
ExtendRealityLtd/VRTK,1954,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
stereolabs/zed-unity,14,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
playcanvas/engine,5603,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
PhoneVR-Developers/PhoneVR,408,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
viromedia/virocore,270,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
KozGit/DOOM-3-BFG-VR,343,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
vrc-get/vrc-get,1550,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
VRCFury/VRCFury,164,visual,visual,visual,visual,visual,visual,visual
vrapper/vrapper,513,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,4725,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
ExtendRealityLtd/VRTK,467,non_visual,non_visual,non_visual,non_visual,visual,non_visual,non_visual
immersivecognition/unity-experiment-framework,139,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
IdeaSpaceVR/IdeaSpace,32,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
overte-org/overte,794,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
jeroen1602/lighthouse_pm,300,non_visual,visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,24307,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
playcanvas/engine,2938,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
ReactVision/viro,367,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
VARID-XR/VARID-plugin-ue4,6,visual,visual,visual,visual,visual,visual,visual
mrdoob/three.js,12443,visual,visual,visual,visual,visual,visual,visual
maine-imre/handwaver,192,non_visual,non_visual,visual,non_visual,non_visual,non_visual,non_visual
boku-ilen/landscapelab,291,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
bulletphysics/bullet3,940,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
overte-org/overte,92,visual,visual,visual,visual,visual,visual,visual
blepmlem/VRChat-Expression-Utility,5,non_visual,non_visual,non_visual,non_visual,visual,non_visual,non_visual
mrdoob/three.js,13356,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
